,text,user,location,Sentiment_Polarity,Expression Label
1376,"@rynewalley26 @timcur425 @Pale_Ranger @GeraldoRivera @realDonaldTrump Nope. They're still there, and growing more powerful every day. Nobody there to stop them. All thanks to Donald Trump.",LaBelle50,"Maxwell, PA",0.333333333,positive
1377,"@J_Stone_91 @NJjacobs1 @realDonaldTrump Actually Republicans are not trumpers, they are Republicans. Every Republican I know is ready for trump to realize he lost and let Biden take office. Hopefully in 4 years we will have a respectable Republican candidate that all Republicans will back.",KERRIGO94777267,,0.175,positive
1381,"@realDonaldTrump Victor Joecks is a biased writer for the Las Vegas Review-Journal...and even the LVRJ pulled their endorsement of you to recognize the new President-elect. So basically, Victor Joecks doesn’t even matter in Nevada.",edukaytor702,"Henderson, NV",0.136363636,positive
1383,"@realDonaldTrump Obviously someone is fucking with him.  Giving him all this false info, sitting back and watching him unravel.😂",Tracy95504581,"Michigan, USA",-0.25,negative
1385,@DanScavino @realDonaldTrump I HAD TO DO a mail because I have cancer and because YOU did NOTHING to protect the American people! My vote and all others count! I watched votes being counted in real time from another state! Why don’t you concentrate on saving lives instead of being selfish? Have some dignity!,YorkieMomma3,TN,-0.125,negative
1386,"RT @mikandynothem: Once again, @realDonaldTrump delivers on a promise with groundbreaking announcement from the Rose Garden. 
Two vaccines…",odemevol13,,0.6,positive
1387,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",Beverlyb11,"Colorado, USA",-0.1,negative
1391,"@eugenegu @realDonaldTrump Go telemed an animal or something, better yet find a cure for democracy. Nothing better to do then sit around waiting for TRUMP to tweet, SMH.
Get a life dude",redowlwinz,Capital of CA,0.5,positive
1392,"RT @davidmweissman: @realDonaldTrump People are dying under your watch, please shut the fuck up and concede. #ConcedeNowTrump 
https://t.co…",DinoJDawson,"Atlanta, GA",-0.4,negative
1393,RT @HKrassenstein: @realDonaldTrump This is another blatant lie.  Your attorneys literally just quit on you and admitted that there is no “…,1upsetcitizen,"Orlando, Fl",-0.5,negative
1394,"RT @PrometheusIV: @molmccann @jfradioshow Send in @TheJusticeDept investigators RIGHT NOW!!! Take them to court on this JOKE of a recount,…",eternity7112,,0.558035714,positive
1396,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",annemariehams,IL,-0.1,negative
1398,"RT @designergirla: @realDonaldTrump YOUR OWN HOMELAND SECURITY HAS 

JUST PUT OUT A STATEMENT SAYING:

""THE 2020 MOST SECURE IN AMERICAN HI…",americag_ma,United States,0.375,positive
1399,"@tunesville1 @ohsummerbw @GeraldoRivera @realDonaldTrump So do you, so there really is no point.  You people are insane.",disconektyd,,-0.55,negative
1400,@realDonaldTrump This shit is from 1994,Michaelbrowley,Fernandina beach fl,-0.2,negative
1401,"@realDonaldTrump Publicly pressuring the governor of a state in the middle of an election recount is certainly an interesting legal strategy, Biff. Did Rudy suggest it?",Cpo10za,,0.175,positive
1402,@whackyclown228 @MichaelRCaputo @jaketapper @realDonaldTrump Don't even know your own history smh,The_Frisky_Fox,🔥she/her🔥,0.6,positive
1403,@TheLeoTerrell @realDonaldTrump @newsmax @FoxNews @BlackVoices4DJT @SenatorLoeffler @seanhannity AMEN TO THAT&gt; I BELIEVE THE 73 MILLION PATRIOTS WHO VOTED FOR PRESIDENT TRUMP WILL ALSO ABANDON THE REPUBLICAN PARTY!!! TRUMP SHOULD START A NEW PARTY!!!,janefer81819385,,0.266335227,positive
1404,"@realDonaldTrump @PeteHegseth @seanhannity You could pass that stimulus you promised your voters, I don’t expect much from you, but all of the people that voted for you do, and since you are still President, realize it’s not all about you, Americans are hurting and you can still help!!",ErikaEaster4,"Kentucky, USA",0.3125,positive
1408,"@realDonaldTrump Jajaja,  you should play the comedy store on sunset blvd!! You got some good ones!!",CarlCoughlin3,,1,positive
1409,"@RepDougCollins @realDonaldTrump Yeah more bullshit, blah, blah and guess what ? He lost!",lilE4U,Just where i want to be,0.625,positive
1411,@DanScavino @realDonaldTrump Quack quack quack lame duck .  We will always remember the REAL history you’ve created.. death destruction and division within our United States,zemuron,"Seattle, WA",-0.15,negative
1413,"@Dreaducations @realDonaldTrump Nice beers. I sold Victory for a few years, fantastic underrated brewery that’s been around a long time.  Always a fan of the Prima Pils. Good luck!",alphabeerguy,,0.325,positive
1415,@TrumpVoterWTF @realDonaldTrump @PeteHegseth @seanhannity He already lost stupid,gilrobledojr,,-0.8,negative
1416,"@camer0n_j #WhiteSupremacist BS.
53% of Republicans Voted FOR @realDonaldTrump 🇺🇸

45% of Democrats Voted FOR  @JoeBiden 🇨🇳
The difference?
~1/2 &amp; 1/2  BUT there is a -8% Right?
In order to pass my socialist agenda.
I would NEED to Pander. Lie. Steal. &amp; Cheat.
#BlackTwitter

&amp;That They Did.",camayusa1,🦅OneNationUnderGod🇺🇸🦅🇺🇸 ,0.285714286,positive
1419,@realDonaldTrump Evil man @realDonaldTrump is suffering in defeat. ❤️ God bless America!! Proud of this country 🇺🇸 https://t.co/ETXt9urHQN,G0Bears,,-0.1,negative
1421,"RT @TotalSeasons: The Rose Garden is that little section in our back shop. Another day, another booking.",Dfaris44,,0.1375,positive
1423,"@realDonaldTrump @BrianKempGA “ ...lies, paranoia, conspiracy theories, self-pity and attacks on our democracy”. This is how most of the world sees you. #Clown #PityParty",beaulen,"Washington, USA",0.5,positive
1425,"RT @joelcomm: @realDonaldTrump @PeteHegseth @seanhannity Finish what you started, Mr. President!  The only thing worse than losing is losin…",Bjl43640150,,-0.2,negative
1428,@Debber66 @realDonaldTrump Governor blackface in VA is pretty much doing the same thing.  Now it will be a class 1 misdemeanor for not wearing a mask starting Sunday.,J4FreedomVet,"Virginia Beach, VA",0.1125,positive
1431,@gardenseve @realDonaldTrump And we will see when the Supreme Court of Justice on December 14 will win Donald Trump you will cry and cry,AngelJOsorioM01,,0.8,positive
1433,"@TrumpVoterWTF @realDonaldTrump @PeteHegseth @seanhannity Yelling at the neighbors? Lighting their signs on fire? 

I like neighbors who are quiet and peaceful. Don't you?",CraigHarmon20,Ohio,0.125,positive
1435,@realDonaldTrump Are you high?,DChesin,"Elk Grove, CA",0.16,positive
1436,@GuySquiggs @DarthOmnivorous @TheGlare_TM @realDonaldTrump Sitting in the hospital with my wife and newborn so you are once again totally right. Are you going to Biden's inauguration?,IanWhoTweets,,0.285714286,positive
1437,"@SolomonYue @SecPompeo
@EmmanuelMacron @SCMPNews @ScottMorrisonMP @CNN @realDonaldTrump @tedcruz @senatemajldr @StandNewsHK @BorisJohnson @JimmyLaiApple @HuXijin_GT
@SpokespersonCHN @BBCNews

To Trump, Pompeo &amp; their pretty boy Solomon: In your face 🤣🤣
https://t.co/o72EMbQYXM",StraightOff,,0.25,positive
1440,"@LeeHirsch @realDonaldTrump @PeteHegseth @seanhannity No Donald Trump did not bring Covid into the US. That was China. Individual States had to look after their own and it seems the Democrat States are the ones that didn’t manage it, just like they didn’t manage the riots, looting, and murders.",eyeswid79974765,"Perth, Western Australia",0.3,positive
1441,@realDonaldTrump WTF are you talking about? You can just claim votes were invalid just because you couldn’t them and then claim you won a state because of that. I really think you need to see a doctor about your mental condition.,LEMonster88,"Cleveland, Ohio",-0.133333333,negative
1445,@DanScavino @realDonaldTrump Have fun in prison https://t.co/waxIe9lsqZ,jamsession1212,,0.3,positive
1446,@realDonaldTrump This is false.  https://t.co/7EqrX6gdRZ,Shaka4Kahn,California,-0.4,negative
1447,"RT @donwinslow: Dear @realDonaldTrump 

1. Electoral college: Landslide for Biden.

2. Popular vote: Landslide for Biden. 5 million+ more v…",SteveWight9,,0.55,positive
1448,"@realDonaldTrump YOU STUPID SHIT....YOU ARE THE OUTGOING PRESIDENT...YOU LOST, AND GOT YOUR ASS KICKED!!!",dnnawhte,,-1,negative
1451,RT @CalebAgaehi: #British how can you ask me to continue to live with this set of idiots! End #Nigeria now to save lives @WhiteHouse @realD…,VivianUgo6,,-0.287878788,negative
1452,@robbystarbuck @realDonaldTrump @KathyBoockvar Recounts are never ordered when vote margins reach a certain spot because it’s a waste of taxpayer money. Now if Trump wants it bad enough he can pay the expense of doing it. Probably won’t happen since he’s broke,RickyTBowles1,"Mount Sterling, KY",-0.097142857,negative
1456,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",eric84701331,United States,-0.1,negative
1457,@WomenforTrump @realDonaldTrump @LouieGohmertTX1 What is this march good for? It's ridiculous! Trump lost!,abbysandkevsomi,"El Paso, TX",0.089583333,positive
1458,"@DanScavino @realDonaldTrump What can Trump do if he loses and they revalidate the fraud? Of the 538 electoral college voters, in the states where there is fraud, they can refuse to vote for Biden. There are antecedents. Trump in 2016, won with 306 votes. And in the final election, 304 voted in his favor.",BSC_ROCK1,Ecuador,-0.15,negative
1459,@KLowgren @JoeBiden @LincolnsBible @RickABright @NYGovCuomo When dumass @realDonaldTrump claims we’re doing better than any other country what the hell is he talking about??? #1 nation in the world in infections!! #1nation in the world in GOPCoronavirus DEATHS!!,TerriblyTexas,"San Francisco, CA",0.097412109,positive
1464,"RT @TencicFred: @realDonaldTrump 
1 of 2

There were nearly 184,000 new Covid cases in the US today.

You have abrogated your responsibilit…",TencicFred,Albona Republic,0.118181818,positive
1465,@realDonaldTrump So now you're searching back in time to find some evidence of voter fraud? Maybe you'll have better luck using the wayback machine.,Trippypea47,United States,0.25,positive
1466,RT @neverdownatall: @realDonaldTrump The blue wave surprised the hell out of this man. Trump is still whining about the washing he got from…,StoriesTweet,,0.05,positive
1467,"RT @KevinHarley5: With what is happening in the Pennsylvania court, it is becoming quite clear the @JoeBiden is about to officially lose hi…",HwrdFifa007,,0.275,positive
1468,@CoyMoMo @Notmyna93094624 @hoodietrades @DPWIMM @realDonaldTrump Aw yes cause if you were running for president and had 2.7 million of your ballots changed to the other party you’d be fighting for you spot to so boohoo get over it. 4 more years 🇺🇸,BrookeaDavis27,,0.1875,positive
1470,RT @RepSwalwell: Amazing! Congratulations! https://t.co/snE5xaABBG,humidhaney,"New Orleans, Louisiana",0.9375,positive
1471,@ThePlZZAGuy @realDonaldTrump @PeteHegseth @seanhannity I praying 🙏for you. Have a wonderful evening.,manchogagog,"Dallas, TX",1,positive
1473,@realDonaldTrump FAKE!,jigreen70,,-0.625,negative
1475,@DanScavino @realDonaldTrump Call me a “fanática” I’m ok with that,akashawow,,0.5,positive
1476,@rolandscahill @realDonaldTrump You think he could name one of the other three commonwealths in the country either?,Trollhunter_212,"New York, USA",-0.125,negative
1477,"RT @rickysteele: @DanScavino @realDonaldTrump WOW! 

Trump's hand-picked Federal Election Security Executive confirms that this was the mos…",Brandon71508627,,0.125,positive
1480,"@DanScavino @realDonaldTrump Talk about enabling a TRUE SOCIOPATH. 

LOCK TRUMP UP! LOCK TRUMP UP! LOCK TRUMP UP!",HORACIOPATH,"Texas, USA",0.68359375,positive
1481,@realDonaldTrump you be careful who you fuck over now. Buy some boy butter and stay in your bunker. Maybe get Epsteins advice. Word has it he’s still kickin’ it bigly. You are righteously fucked.,SteamJohnston,Earth,-0.275,negative
1482,"RT @JuddPDeere45: THIS IS HUGE: Because of the leadership of @realDonaldTrump and Operation Warp Speed, there will be enough vaccine dozes…",MaddieAdams75,USA,0.2,positive
1484,"@realDonaldTrump @PeteHegseth @seanhannity PRESIDENT!🌹DONALD! J! TRUMP!🌹

ABSOLUTELY.
TRUE. WITHOUT DOUBT.

💗",PRINCES41681554,"Massachusetts, USA",0.35,positive
1485,RT @RepSwalwell: Amazing! Congratulations! https://t.co/snE5xaABBG,WrenSoar,"Salt Lake City, Utah USA",0.9375,positive
1486,RT @TheLeoTerrell: Operation Warp Speed will become @realDonaldTrump greatest achievement. Sorry #Democrats and sleepy @JoeBiden.  #TrumpFo…,Adams41John,,0.25,positive
1487,@DanScavino @realDonaldTrump This seems like the perfect exit speech for you. Well done!,4trkphantoms,"San Clemente, CA",1,positive
1488,@essarr @LilNardo21 @KellyTu67700063 @realDonaldTrump Most of the states he won dodnt use the flawed dominion vote machine. The rest did. There is most likely a lot of fraud on the democrats side and it may get proven very soon,DominicCGiorda2,,0.14,positive
1492,"@HKrassenstein @realDonaldTrump You are going to be shitty when you realize you were ABSOLUTELY WRONG, it’s going to sting, Enjoy 😘",cryptbdango,,-0.05,negative
1493,"RT @RepThomasMassie: There was never a bad time, but now would be an excellent time for @realDonaldTrump to pardon @Snowden, pardon  #Julia…",BunRieuLover,,0.675,positive
1494,"@realDonaldTrump @PeteHegseth @seanhannity A Fountain of Hope..
setting People Free! 

WATCH 
https://t.co/HUNVECRgej",Peace254_,,0.5,positive
1495,"@natemax @DanScavino @realDonaldTrump His job is to protect our country from threat, both foreign and domestic. He has failed and should be charged for the deaths for inaction. No decision or action is a decision and he has no claim to any form of plausible deniability. The virus was a killer - he didn't protect us.",DKerns75745520,,-0.005,negative
1496,"@pardeeball @Kristie14820841 @HKrassenstein @realDonaldTrump I love this so much.  When it’s all said and done, he is going to laugh at his supporters and say it was good while it lasted.  I just keep wondering what spell has been cast on those people!",Veronic65223724,,0.46875,positive
1497,@HawaiianScribe @littledeekay @GeraldoRivera @realDonaldTrump So so dumb...,Mizzle31,Mid-west,-0.375,negative
1498,@realDonaldTrump Mr Cruz your message is shocking - a real man would stand up for his wife who was so maligned by trump? You are pandering to a literal LOSER...but you are correct the media is not deciding who won... the voters are deciding and the judges who are throwing out cases,JOriol6,,-0.4,negative
1499,@realDonaldTrump @PeteHegseth @seanhannity SIR! We are go for full throttle!!,Alb3rtTimm,,0.546875,positive
1500,RT @RepSwalwell: Amazing! Congratulations!,netbacker,"Santa Clara, CA",0.9375,positive
1504,@DanScavino @realDonaldTrump Wtf is this utter bullshit,SuzanneWhitby5,Canada,-0.25,negative
1505,"@realDonaldTrump Right...take that OPINION article to court...get yet another case thrown out...
Most of your legal team has quit already...
Historic win for Biden #306 is a landslide!!!",wildwillie13,,0.425,positive
1509,@KuckelmanAshley @realDonaldTrump @PeteHegseth @seanhannity He's not president elect. Go take a u.s. civics course.,Vincent_Lauria9,Not in Canada,0.8,positive
1511,"@PalmerReport @realDonaldTrump @PeteHegseth @seanhannity Really!  5,000,000.  Plus no evidence of voter fraud.",jade3399,,0.25,positive
1513,"@realDonaldTrump @PeteHegseth @seanhannity So, in 2016 Trump declared his 306 electoral tally a LANDSLIDE.

So, what should we call President-elect Joe Biden's 306 electoral win (such karma), along with his FIVE MILLION+ popular vote increase over former President Trump?",TadMMalone,,0.35,positive
1514,@DanScavino @realDonaldTrump You people will get Covid🎶🎶🎶you won’t be around🎶🎶🎶 less trump supporters 🎶🎶🎶for 2024,yani32724438,,-0.166666667,negative
1515,RT @NRMilford17: @realDonaldTrump I work at a hospital in NYC and know first hand- and just saw a story about how healthcare professionals…,fennolicious,,0.25,positive
1519,@realDonaldTrump Dotard is never tired of lying to Americans,LoveUSOfAmerica,United States,0.2,positive
1520,"The trolling presidency, all four years, nothing but a long troll. https://t.co/2GVSUfx5OI",Mecha9ine,,-0.05,negative
1522,"@Timecr0ss @MarkIraKaufman @UTPHTTU @realDonaldTrump Clearly you didn’t watch Rudy’s show. Coward.  Scared of what you’ll find, huh?  Do me a favor.  When you argue, present me at least one EVIDENCE or FACT.",RyanJayson9,,-0.066666667,negative
1523,@realDonaldTrump Bull shit,lcarrmo,,-0.2,negative
1525,"@NanciAma @realDonaldTrump This is no longer a joke. This man is deranged. He is still insisting he won. It’s so strange. He is really delusional. If I were a family member, I’d be concerned about his mental health.",Pmcos60,,0.016666667,positive
1526,"@realDonaldTrump @PeteHegseth @seanhannity Flooding the zone?  People voted, legally using mail in ballots.  Nothing wrong there.  #TrumpIsANationalDisgrace #TrumpIsALiar #TrumpMustGo",Pokerdogg47,,-0.15,negative
1527,@WomenforTrump @realDonaldTrump @LouieGohmertTX1 Hell Yeah COVID March in Full Effect!!!,slaw803,America,0.68359375,positive
1530,"@QuoteDead @PatrickNova6 @realDonaldTrump PA  Resident here. This is false. There were many Republicans watching poll workers. As a matter of fact, they were permitted to stand 6 feet from workers not the normal 12 feet.",Pitti_Dog_Lover,,0.083333333,positive
1531,RT @ProjectLincoln: Today would be a beautiful day for @realDonaldTrump to concede.,patrichter,New Jersey,0.85,positive
1534,"@DanScavino @realDonaldTrump Mr President, the king of Iran overthrown by Europe. Since his last day we never saw a single happy day. Europe did the same to you. That’s what France , England, China and, Russia dream. They had to remove you just as the king of Iran removed by them.",m_shahmoradi,,0.182142857,positive
1536,"RT @murray_nyc: @realDonaldTrump EXTREME IRRESPONSIBILITY 

As a “leader” Trump has a moral obligation to be honest with his supporters. In…",jengrimes8,,0.158333333,positive
1539,"RT @michellemalkin: ""This administration will NOT be going into a lockdown. Lockdowns cost lives. The cures cannot be worse than the proble…",Eman_Resu2020,Australia,-0.4,negative
1541,"@realDonaldTrump Xi Jinping Said: “something can’t buy by money, it can be bought by a lot of money.” Buy individual much cheaper than losing a great deal multiplying by 2 terms or 8 years. It not worth to sheltering someone who sold the nation to enemy. That’s unforgettable dead penalty deals.",saubet58,"Houston, TX",0.241666667,positive
1542,RT @TheLeoTerrell: Operation Warp Speed will become @realDonaldTrump greatest achievement. Sorry #Democrats and sleepy @JoeBiden.  #TrumpFo…,JodiGiddings,Somewhere in FreedomLand,0.25,positive
1543,"@senatemajldr @LindseyGrahamSC @realDonaldTrump @POTUS @GOPLeader @GOPChairwoman   Republicans... Coward, hypocrites, losers, liars. Every single one of them. https://t.co/2ntww1ungi",Mom5960,,-0.135714286,negative
1547,"RT @Stonekettle: Trump sits at the head of the largest, most powerful, most far-reaching, most well funded information and intelligence gat…",RosiG,This side of Earth,0.45,positive
1548,Yo has @realDonaldTrump conceded yet to the champ @JoeBiden?  Asking for 80 million friends.  Shout out to the greatest @itsJeffTiedrich  #jeffmadeanimpact,dbmuskie99,,1,positive
1549,"@DanScavino @realDonaldTrump Trump is a liar. You may have fallen for him but he has always lied to you. You might love him but he doesn't care if you die... literally. Come back to truth and walk away from the fear mongering facist. 
https://t.co/fcq9k3U2gq",SherylBarnesMP,"Rocky Ford, CO",0.25,positive
1550,"@BrianKarem @realDonaldTrump Brian Karem has the honor of being the biggest and grossest mess found in the pages of Playboy, which when you think about is a pretty impressive feat",WolffintheWild,THE REAL AMERICA™🇺🇸,0.358333333,positive
1551,@realDonaldTrump Your Homeland Security Department certified the election as honest and straightforward.,JamesDevaney2,"Eugene, OR",0.4875,positive
1552,@1219ddenney @BrianKarem @realDonaldTrump After he just said he’s going to withhold a vaccine from New York State he deserves to be treated professionally? Put the kool aid down and listen to the content!,Katrinamck,"Indiana, USA",0.013973064,positive
1554,@SaraCarterDC @realDonaldTrump I would like to see that after Trump wins. Time for term limits and no access to insider trading.,JimDobbins65,Banished to Albany NY,0.3,positive
1555,@PoliticalSloth3 @realDonaldTrump what fake news are u looking at? They just mentioned about obamas election and bidden elections hwo they did fraud. Trump won. bidden and obama are going to high security federal jail and will be sentenced to death. Thats so sad. may jesus stay away from their disgusting souls,Jason38785420,,-0.388,negative
1556,"RT @handazarus: @realDonaldTrump Thanks so much for the article from 1994 (ps I thought you said the NYT was “fake news” but ok), wow YUGE…",SiloAAOlis,,0.1,positive
1557,@DanScavino @realDonaldTrump Best President EVER!!! 🇺🇸,Carol54657997,,1,positive
1558,RT @RandPaul: I am very pleased @realDonaldTrump asked my friend Col. Doug Macgregor to help quickly end the war in Afghanistan. This and o…,VeryCelticLady,,0.491666667,positive
1560,@PoliticusSarah @realDonaldTrump @Twitter Who gives you blue checks. You’re blind if you think trump is taking democracy away . How bout the people that are trying to force you to stay in your home and slowly starve because you can’t go out and work,_FluffyLorax,,-0.266666667,negative
1561,I love how Twitter is calling bullshit on virtually everything he posts now. https://t.co/oW3g6Lm6U7,backup_big,"Tampa, Florida region",0.5,positive
1565,"@realDonaldTrump The N.Y. Times article is from 1994! 

But good try though! 
FACT: In 2020 the reality is Trump lost, &amp; Jan 20, 2021 Trump will no longer be president! #TrumpConcede #TrumpIsALaughingStock #TrumpVirus #TrumpLost2020 https://t.co/qRgE2l0LdZ",MeFeminist,United States,1,positive
1567,"@Drummer66X @zeds_not_dead51 @realDonaldTrump the BLM ""protests"". lol",Outside22633865,,0.8,positive
1568,@JustinGNYC1 @ZackFinkNews @NY1 @realDonaldTrump @NickReisman It’s the same vaccine the person in office can’t cast a magic spell over it to make it different. So suck it up cuomo and accept Trump got the vaccine for all,savethedrama1,United States,0.166666667,positive
1569,@DanScavino @realDonaldTrump you ok?,And1Alec,LA,0.5,positive
1572,RT @Mike_Pence: It was President @realDonaldTrump’s vision that we could harness the ingenuity and creativity of America’s greatest pharmac…,InnReach,"Texas, USA",1,positive
1574,@realDonaldTrump That's some stupid bullshit you're spinning.,altwriter,"Raleigh, NC",-0.8,negative
1575,@realDonaldTrump @PeteHegseth @seanhannity Legal ballots,gilrobledojr,,0.2,positive
1577,"@RepDougCollins @realDonaldTrump Show me how your vote is better than mine, Doug and Don. That is what you’re saying, right ?  This time you’re just not using race, sex or income, or are you? #RepublicanSourGrapes",jc_jillian,"North Carolina, USA",0.392857143,positive
1578,"@RedPillBM @realDonaldTrump Are you sure #45 isn't siphoning campaign funds for the impending legal battles once he is dethroned from 1600 Penn Ave? Make sure to practice 2nd Amendment for the MillionMAGAMarch as supporters look to place blame for ATL, Detroit, Baltimore etc.",MFEnriqueBK,,0.3,positive
1579,"@realDonaldTrump I spun around 7 times and didn’t fall down which means, based on our great constitution, I get free meals for life at Taco Bell!",interrupter3000,"Philadelphia, PA",0.381481481,positive
1580,RT @th3j35t3r: .@realDonaldTrump - Don't get too down on yourself. It could be that your life happened only to serve as a warning to others…,erincandy,"New Brunswick, Canada",-0.077777778,negative
1581,"@cimuitjebbes @gringochulo1 @realDonaldTrump @JoeBiden Again, to my previous comment,  childish name calling and acting like a child. These childish antics are exhausting. Get over it. HE LOST!  BIDEN  made it out of his bed to mop the floor with him. trump rallies sounded like comedy shows. Not presidential.",Inawe17,,-0.213333333,negative
1582,"@EHowardHunt2020 @johanbarrantes @HKrassenstein @realDonaldTrump I just got back from work , I’m no bum . It seems you live on Twitter . Some of us adults have jobs . Now I’ve got to go take care of the little lady . You have fun tweeting your garbage .",malone_as,"California, USA",0.062215909,positive
1583,@TLettelleir @cincinnatus101 @realDonaldTrump biden got so many votes because that's how much people in this country hate trump,shingo30424945,,-0.033333333,negative
1585,"RT @TWIT_ANTHONY: @realDonaldTrump The loss of this election, and the loss of our Main Man, will result in the biggest mass depression in g…",Trumpgirl79bac1,,0.166666667,positive
1586,"RT @davidmweissman: @realDonaldTrump People are dying under your watch, please shut the fuck up and concede. #ConcedeNowTrump 
https://t.co…",BernBoomer,Far West Texas,-0.4,negative
1591,"Is it me or are these IDIOT LAWYER'S PURPOSELY THROWING CASES BECAUSE OF PETTY ONLINE THREATS. THESE LAWYERS ARENT REAL LAWYERS, THEY'RE A BUNCH OF PHONIES POSING AS LAWYERS. @realDonaldTrump
#StandWithTrump
#DontAbandonOurPresident

https://t.co/9fSM5JV1kk",Stuntmaster007,"goodyear, AZ",-0.3,negative
1593,"@BarrenGeremiah @Ur_All_Idiots @waltermasterson @realDonaldTrump Agreed, shit idea, but nobody else would let that happen. But I think to be a true fascist, he’d need to censor media opposing him.... that didn’t happen. He’s need to silence political opponents.... that didn’t happen. He’d need to take away the constitutional rights. Nope.",EpicStyleYeet,,0.05,positive
1596,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",onevoice2,"Seattle,WA",-0.1,negative
1600,@realDonaldTrump @PeteHegseth @seanhannity I would never doubt trump. The guy makes liberals go crazy just for fun.,joshmeier49er,,-0.15,negative
1601,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",billypolar,,-0.1,negative
1603,@gerritsburner @realDonaldTrump You don’t speak for this 2A Loving American Patriot Citizen.  🇺🇸🇺🇸🇺🇸,srqspitzie,,0.3,positive
1604,"@DanScavino @realDonaldTrump .@DanScavino 

How many lawsuits have been thrown out for lack of merits so far? 

How many law firms have called it quits so far, Dan? 

Less tweets. More packing. https://t.co/sRmELJgYvE",US_Latino,United States,0.255555556,positive
1607,@realDonaldTrump @PeteHegseth @seanhannity @realDonaldTrump is the greatest President the US has ever had! He accomplished 100x more than any other #Democrat ever has while being lied about and persecuted by the wicked #Left every single day! We love you so much Mr. President! Don’t let them get away with it! @PeteHegseth,free_beseecher,,0.287276786,positive
1608,"RT @TheRealHoarse: @realDonaldTrump I love that Twitter has moved on to just tagging you with “Nah, you lost.” https://t.co/F0Sj0TcX1P",TheEchoes2017,,0.5,positive
1611,"@realDonaldTrump @PeteHegseth @seanhannity ""Trump has put his personal lawyer, Rudolph W. Giuliani, in charge of his campaign lawsuits related to the outcome of the election, as well as all public communications related to them...""-NYTimes
--I'd say it's pretty safe to bet against you. 🍿🍿🍿",lex4_d,,0.125,positive
1612,President @realDonaldTrump 🇺🇲🦅 is by far the greatest president of all time! https://t.co/BB232cME92,Marcelo77931223,Brasil,0.55,positive
1613,"@realDonaldTrump @BrianKempGA Please don't admit defeat, we are still supporting you!",Chris_pyf,"北京, 中华人民共和国",0.3125,positive
1614,@roblatimer666 @LesliePettie @PatrickNova6 @realDonaldTrump @BrianKempGA I was in NYC partying on March 8th. “The epicenter” ... 99% of the population is fine.  Not shutting down the economy to keep fat fucks with diabetes who are prob on welfare or disability anyway.  This is America.  Not the CCP.,JingleRhymer,"Philadelphia, PA",0.130555556,positive
1615,RT @CogginToboggan: The worst thing you can do is bet on the Eagles.,JCal_88,"Philadelphia, PA",-1,negative
1616,@realDonaldTrump please do the right thing for the country you say you love.  The peaceful transition of power is sacred to democracy.  Let your legacy be one of a true patriot and start the transition.  History will reward you. #ConcedeTrump #UnityWins,amazon68kt,,0.346428571,positive
1620,@JennaEllisEsq @realDonaldTrump @billmaher Why the hell would u go on that terrible show? He loves to talk over all people associated with trump and u are on their with a terrible writer from that god awful @TheAtlantic . Why would u do this @JennaEllisEsq,scottdavis1324,"Manhattan, NY",-1,negative
1622,"@antiracismacad #WhiteSupremacist BS.
53% of Republicans Voted FOR @realDonaldTrump 🇺🇸

45% of Democrats Voted FOR  @JoeBiden 🇨🇳
The difference?
~1/2 &amp; 1/2  BUT there is a -8% Right?
In order to pass my socialist agenda.
I would NEED to Pander. Lie. Steal. &amp; Cheat.
#BlackTwitter

&amp;That They Did.",camayusa1,🦅OneNationUnderGod🇺🇸🦅🇺🇸 ,0.285714286,positive
1623,RT @ChrisKlemens: You’re a complete and utter (and I now hear broke??) failure @realDonaldTrump,whoolita,,-0.072222222,negative
1624,Hey just a quick question @GregAbbott_TX when can we start the motion to secede from the US  till they can figure their shit out. I think I speak for most of us Texans when I say I think it’s time sorry guys @realDonaldTrump @JoeBiden,_wrightnvrwrong,"Longview, TX",0.033333333,positive
1627,RT @CaslerNoel: Trump said today: “I will not be going to a lockdown” who wants to explain to him how prison works? @realDonaldTrump,cJrealtor1998,,0.2,positive
1630,"@slim_reaper2k @realDonaldTrump Seriously, a draft dodger is a “real “ American.  Please tell me you are joking",clemmiejane1,,-0.166666667,negative
1631,@realDonaldTrump @PeteHegseth @seanhannity Are you still onboard the crazy train?,RafaGarc3,,-0.6,negative
1632,@DanScavino @realDonaldTrump It's just sad now 😳 Bite the bullet Donald and enjoy the rest of your life 🇺🇲 https://t.co/GSLQWUJUT6,AmandaTaylor08,"Kilmarnock, Scotland",-0.05,negative
1633,@DanaFE5 @hamo_ram @KamVTV @realDonaldTrump What does this even mean?,XplainsClarissa,"Nazareth, PA",-0.3125,negative
1638,Dignity really isn't his thing… https://t.co/XRYdMaHToh,RJTO65,,0.2,positive
