,text,user,location,Sentiment_Polarity,Expression Label
1292,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Temmytii,Motherland,0.2,positive
1294,"RT @ABCPolitics: BREAKING: Joe Biden will win the state of Georgia, Edison projects. https://t.co/hbGx7kIZ24 https://t.co/bo5yYxILqd",ThatGirlShells,"Hampton, VA (USA)",0.8,positive
1295,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,BlackLoveMadeMe,"Washington, DC",0.25,positive
1296,"@DanScavino @realDonaldTrump 306 Electoral Votes is a Landslide, right - Joe Biden is awesome!!",carolalice13,"Denver, CO",0.642857143,positive
1298,RT @HKrassenstein: @realDonaldTrump Make America Great Again by letting Joe Biden take over!,orangeorchards,,1,positive
1301,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",tres444,The Road Not Taken,0.068181818,positive
1302,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lyricalchink,,0.25,positive
1303,@ScionFaerie @moe_epsilon Didn’t leftists say Joe Biden won the election because he has more votes? Numbers matter.,RealCindy9,,0.5,positive
1304,@realDonaldTrump @BrianKempGA Joe Biden turned Georgia blue because you’re awful.,jillyemily1,,-0.5,negative
1305,"RT @jomalleydillon: 306. Joe Biden, Kamala Harris, the best team in politics, and nearly 80 million Americans did this. https://t.co/cdT6f0…",Bella_40,Pa!,0.55,positive
1306,"@rotate26chars @jurph Right, so this late in 2020, people shouldn’t be sitting around for Joe Biden to take office in order to implement measures that are demonstrated to work.",anthomsec,United States,-0.007142857,negative
1307,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",dire_donald,"California, USA",1,positive
1309,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,stampoutracism0,,0.566666667,positive
1311,@Cernovich And Joe Biden is the first candidate ever to get over 78 million votes.,calieladie,"California, USA",0.25,positive
1312,"A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win in Detroit, which helped carry his victory in the state. The judge also denied the request for an audit of the election.
https://t.co/v5mRhvPpIl",joncoopertweets,New York,0.8,positive
1313,"RT @ChuckCallesto: REPORT: High Profile Georgia Attorney Lin Wood tells @HowieCarrShow that ""JOE BIDEN AND THE PEOPLE LIKE HIM Who Have Bee…",Gunalizer,United States,0.16,positive
1314,RT @HKrassenstein: @realDonaldTrump Make America Great Again by letting Joe Biden take over!,AutismProf,,1,positive
1315,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,AAkkiirraa_23,castle made of sand ²¹⁶,0.25,positive
1316,RT @bdieho: @michaeljknowles Just spent the last 10 minutes yelling at my grandma for voting for Joe Biden... Then after leaving the cemete…,CommonBroadcast,,-0.05,negative
1317,RT @AshaRangappa_: And Devin Nunes — the common denominator here — refused to answer in a closed-door HSCI meeting whether he was receiving…,battymomtoo,"Massachusetts, USA",-0.3,negative
1320,"RT @JBartle44051086: @chugi3 @pepesgrandma ""Hammer"" that was developed by DM is the CIA's spy mechanism that the Obama admin turned on the…",Larsen12Wolf,,0.1,positive
1321,RT @lifttheveil411: It's scary how many evil people have really nice things to say about Joe Biden.,Chunderstruck1,,-0.1,negative
1324,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",mluthfihdyt,Indonesia,0.2,positive
1325,"Congrats to Joe Biden &amp; Kamala Harris for winning the Election for the fourth time this week.

💙💙🇺🇸⚖️💙💙",KB1HotMess,My tweets. #unfuckwithable,0.25,positive
1326,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Semilocon,Earthball (Right now: Germany),0.25,positive
1327,"RT @nowthisnews: President-elect Joe Biden has officially won 306 electoral votes — the exact same amount that Pres. Trump won in 2016, whi…",eloyzaldivar,Mexico City,0.125,positive
1328,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,cJrealtor1998,,0.25,positive
1329,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",OskiFan,"Portland, Oregon",0.4,positive
1330,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,gabriellebleu,DMV,0.25,positive
1331,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",Amandahd1212,,0.25,positive
1333,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,IsSeraph,,0.25,positive
1335,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",richardrankin22,"Moro Bay, AR ",0.2,positive
1336,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,BoogidFfskw2002,"Alaska, USA",-0.015151515,negative
1338,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cubbeleh,"Minnesota, USA",0.25,positive
1339,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,TheDaveDiem,"Brooklyn, NY",0.1,positive
1340,"RT @BreitbartNews: James O’Keefe’s Project Veritas reported Thursday that a new U.S. Postal Service (USPS) employee had come forward, claim…",Mg246,,0.136363636,positive
1341,"RT @ABCPolitics: BREAKING: Joe Biden will win the state of Georgia, Edison projects. https://t.co/hbGx7kIZ24 https://t.co/bo5yYxILqd",watawata_1114,,0.8,positive
1342,"RT @mikandynothem: If you are an African-American but vote Republican, Joe Biden says you ""ain't black"".
Justice Clerance Thomas may just h…",kamil43294717,,-0.166666667,negative
1344,@RepSwalwell @GOPLeader Now let’s talk about bitter @HillaryClinton https://t.co/TZa9CHod3X,Veniceitaly2022,,-0.1,negative
1345,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",rychemom,"Washington, USA",0.5625,positive
1346,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Deadhead_Otaku,"Orange, TX",0.2,positive
1351,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,jennboutte,"Houston, TX - my adopted city",0.25,positive
1352,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,RaymondxMelvin,,0.25,positive
1355,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,OrdinaryTales,"New York, USA",0.05,positive
1356,RT @robreiner: Trump is throwing up all this legal garbage to prevent Joe Biden from claiming the Presidency. A fool’s errand executed by a…,Chriscatty,UNITED STATES,0.2,positive
1358,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,CitizensBankers,,0.25,positive
1359,"""If Joe Biden falls in line and is always careful to do what they want, the elite will make sure that Joe Biden’s skeletons remain buried.

But if and when it becomes necessary, they will nail Biden with all of the dirty stuff from his past.""",lgfocus,"Colorado, USA",-0.09,negative
1360,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,madsunobrien,"Flagstaff, AZ",0.25,positive
1364,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",CS_Delph,"Louisville, KY",0.5625,positive
1365,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",advoteen2264,"Connecticut, USA",0.068181818,positive
1366,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,xoemily9,,0.25,positive
1368,"@pfizer if you purposefully called Joe Biden and gave him the news of your vaccine results being 90% effective and did not call President Donald Trump 1st who handed you the path  to this accomplishment, you Suck!",margaretchojna1,,0.75,positive
1370,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",idaho_jeane,,0.2,positive
1371,@MiguelFontan If Joe Biden won fair and square why wouldn’t he support a thorough and widespread recount &amp; audit to reassure Trump voters? https://t.co/ykvqjnhqcL,brunoegloff,,0.7,positive
1372,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,OhSnapSarah_xo,📍Ohio  |  💛NYC 🗽& FL 🏰,0.25,positive
1373,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,rajoorag,,0.25,positive
1374,"@DanScavino @realDonaldTrump 306.  

Joe Biden.  

Massive Landslide.  

Historic voter turnout.  

Blowout of Popular Vote by 5+ Million.

Donald Fired—LOSER! https://t.co/Jsn6zpaCAU",RAGreen7,,0.25,positive
1375,"@realDonaldTrump Can ANYONE explain to me why only Joe Biden won his presidential* race and the vast majority of the down ticket not only loss but lost miserably, so much so that much of his cabinet looks like last nights left over dinner",Sylvesterstone7,"Citrus Heights, CA",0.030555556,positive
1376,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,NancyMu28879622,,0.1,positive
1377,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,zainvelji,"Calgary, Alberta",0.25,positive
1378,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,apipkin11,"Jacksonville, FL",0.25,positive
1379,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,noahwilsoncares,"Oakdale, CA",0.25,positive
1380,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,WarrenBond20,,0.25,positive
1381,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,NEWRELIC1,,0.05,positive
1382,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",SassyWoman19,,0.254166667,positive
1383,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,phyllis_gmai,"Florida, NY",0.25,positive
1385,RT @KannoYoungs: NEW At least 30 Secret Service officers tested positive for coronavirus and an additional 60 are quarantining. W/ ⁦@nytmik…,judithleger,SW Louisiana,-0.084090909,negative
1386,"RT @CortesSteve: Joe Biden is the lockdown candidate, confirmed by new comments from his top virus adviser.

Let’s get an accurate count of…",Marco_Malo13,,0.359090909,positive
1387,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",necrosignaling,"Austin, TX",0.5625,positive
1388,"@modelware @JaxsonAgincourt @SebGorka @realDonaldTrump @Geoffyoungrepub Thats true...

Wisconsin’s election audit is 2/3rds over, and has turned up an additional 157 votes for Joe Biden. 

🤣🤣🤣🤣🤣",donnnie,,0.35,positive
1391,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mebrosius,"Cleveland, OH",0.25,positive
1392,"President Trump on Friday falsely maintained that the election he lost was “rigged” against him, even as he claimed credit for his administration overseeing “the most secure election ever.” #compartmentalization https://t.co/P6HEwrWvPy",yesimpayingattn,Minnesota,0.166666667,positive
1394,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,CChristineFair,The Capital of Jesus-e-Stan,0.25,positive
1396,RT @CherchezLaNegro: Joe Biden and Kamala Harris do not deserve Black Americas support. At all. y’all trippin.,BTBOFFICIALL,United States,-0.166666667,negative
1397,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Johnedward112,Florida,0.2,positive
1398,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cleftmonkey,Up Nort,0.25,positive
1399,RT @FozzieBear88: @ProjectLincoln That a man so full of bluster and macho bravado is being mollycoddled by aides and a sycophantic party wh…,RadicalMirth,,0.075,positive
1400,"RT @maggieNYT: The president is conflating a media strategy with a legal one, according to a half-dozen advisers who are worried about Giul…",CHHolte,"Brunswick, MD",0.2,positive
1401,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Worldtr16,"Banff, Alberta",0.2,positive
1402,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,carlyy__marie,misery,0.25,positive
1403,"RT @greg_doucette: But I'm reliably informed all of these people love him, Ken, and will forcibly block Joe Biden from entering the premise…",BOSattyHelp,"Massachusetts, USA",0.5,positive
1404,RT @PattyArquette: Joe Biden is our new President. End of story.,CareyConley15,NW Ohio,0.136363636,positive
1405,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,Grizzified,Buddy Land,0.1,positive
1406,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,ccharlamb8,,-0.015151515,negative
1407,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL https://t…",ZuriBella,,0.5625,positive
1408,"RT @threadreaderapp: @Bjorkian15 Hallo, please find the unroll here: @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of…",CharmaxHutt,"Brockville, Ontario",0.1,positive
1409,"RT @MeidasTouch: Joe Biden leads Donald Trump in votes from the United States Military

 https://t.co/wdMs6FX68W",labountygreen,"Normal, IL",-0.1,negative
1410,"RT @EdMarkey: With 306 electoral votes secured and a more than five million popular vote lead, Joe Biden and Kamala Harris have buried Dona…",soultravelers3,global RTW digital nomads,0.55,positive
1411,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,hanthompks,tx,0.25,positive
1413,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",AlexLerminiaux,Worlds Tallest Filing Cabinet,0.25,positive
1415,"RT @lexi4prez: Since it seems that many people can only make vague references to Joe Biden’s “mistakes,” and seem to lack a full understand…",allanlgz_,"Salt Lake City, UT",0.0875,positive
1416,Fuck Joe Biden and Kamaltoe Harry,RightSideOfRig1,,-0.4,negative
1418,"@layneashley222 @Irishmom2eb @politico Jesus christ even when they win they cant win...
Making complete fools of themselves in the midst of ""victory""(we flipped 15 congress seats and will retain the Senate, lol)...
Joe Biden isnt the president elect yet...
Until he is he doesnt need government documents...",jmuilisntonsite,,0.66,positive
1420,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",K_La_Shay_,"Texas, USA",0.2,positive
1421,"RT @maggieNYT: The president is conflating a media strategy with a legal one, according to a half-dozen advisers who are worried about Giul…",ThosChamberlain,"Philadelphia, PA",0.2,positive
1422,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",TracySilva262,"Illinois, USA",0.4,positive
1424,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",Cynthia77438217,,0.2,positive
1425,RT @PrayerHarbor: Sidney Powell is claiming exactly what I have believed the whole time. That  President Trump was just destroying Joe Bide…,ptrostant,Texas,0.083333333,positive
1426,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,D_PaulAngel,Body=PDX | Mind=CA | Spirit=HI,0.1,positive
1427,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sectionthona,,0.25,positive
1428,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ShanThatMuslimC,"Hell, MI",0.25,positive
1429,@adamdavidson Exactly! Joe Biden will be inaugurated!,RaabeBill,,0.390625,positive
1430,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,nkramachandran,"San Francisco, CA",0.25,positive
1431,"RT @RussOnPolitics: @JennaEllisEsq Jenna Ellis is a worthless right wing hack who should be disbarred.

So her new legal standard is: Prove…",dorianp626,,-0.035584416,negative
1432,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Singing_Author,"Pasadena, CA",0.25,positive
1434,Joe Biden is a screamer! One angry dude!,dippedinstupid,,-0.625,negative
1435,"RT @axcomrade: Biden has appointed Cecilia Muñoz, former head of Obama's domestic policy council, to his transition team. Muñoz is best kno…",khan_overkill,Everywhere,0.333333333,positive
1437,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,olivia12415,,0.25,positive
1438,"RT @GeorgePapa19: Joe Biden got “74 million votes” yet the Democrats did not flip one single state house. In fact, the GOP is within striki…",Maddeymurphy,,-0.071428571,negative
1439,RT @DonaldJTrumpJr: Is anyone even a little shocked? Imagine how much worse it gets.  https://t.co/h5S3nd6YN1,srbnews0,europe,-0.429166667,negative
1441,RT @DailyMail: Joe Biden is projected to win Georgia as Donald Trump gets North Carolina https://t.co/OCuHNsuZeT,davwain1,,0.8,positive
1442,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,paisleyg01,,0.25,positive
1443,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,adodger78,"San Antonio, TX",0.25,positive
1446,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,IgnancyOnDaBird,"Outlook, WA",0.25,positive
1447,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,iHiddenPersona,Where The Wild Things Are... ,0.25,positive
1449,RT @bdieho: @michaeljknowles Just spent the last 10 minutes yelling at my grandma for voting for Joe Biden... Then after leaving the cemete…,aaronkhowell,Australia,-0.05,negative
1450,"RT @lexi4prez: This thread is now at capacity. But there are many, many other reasons why Joe Biden is not a candidate for the people. We m…",nine2schenn,"Toronto, Ontario",0.291666667,positive
1451,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,deisy1sabel,Venezuela,0.25,positive
1452,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,MissyMosby3,"Pennsylvania, USA",0.25,positive
1453,Biden Wins Georgia and Trump Wins North Carolina https://t.co/fCDPJFPGnE,paulinust,"London, UK",0.3,positive
1454,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,BlackbirdRayven,,0.25,positive
1455,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,ed_bettis,"Lake Mary, FL",0.1,positive
1456,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,iclaudiaisabela,,0.25,positive
1459,"RT @maggieNYT: Trump made the move in reaction to his team dropping a suit they were certain to lose in Maricopa Cty, which closed the door…",CHHolte,"Brunswick, MD",0.057142857,positive
1460,"RT @dovnorman18: Opinion | Republicans are wrong. Trump has no ‘right’ to cause this chaos. - The Washington Post

“Joe Biden and Kamala D.…",HappyGoldenCO,,-0.321428571,negative
1461,This is a petition to require the GSA to recognize Joe Biden as our President Elect.  Please sign here: https://t.co/og9RSOqofB,AmyVert,"Aurora, IL",0.8,positive
1464,RT @KannoYoungs: NEW At least 30 Secret Service officers tested positive for coronavirus and an additional 60 are quarantining. W/ ⁦@nytmik…,GraceKellie3,,-0.084090909,negative
1466,"RT @ChadLivengood: Joe Biden won just Kent County by nearly twice as many votes as Donald Trump won all of Michigan in 2016.

What are we s…",justinl040,,0.3,positive
1470,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,temosir,"San Antonio, TX",0.25,positive
1471,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",kc_dos_siete,,0.5625,positive
1472,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mystrotiff,"Miami, FL",0.25,positive
1473,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Moleo,Bogota,0.25,positive
1474,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,DMackdahazbin,"Lake Villa, IL",0.25,positive
1479,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",hoffmandcpa,,0.25,positive
1480,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,laurakstyle,"Paducah, KY",0.05,positive
1481,fly  saw loving grin a green afternoon today and it made me bomb cry slap I like  Joe Biden.,MrFrog83419022,,0.4,positive
1483,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,FireInMyTum,,0.25,positive
1484,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,GodsBlxckAngel,,0.25,positive
1486,"Take 18 minutes to watch this @TEDx talk with #MarkCharles (@wirelesshogan).

He explains perfectly why I couldn't vote for Joe #Biden nor Donald #Trump, and why I find myself disappointed in 145,000,000 people who did.

(Full Video:https://t.co/dvKkcWBjvK) https://t.co/XhHnbMAbh6",82ndABNTrooper,"Baltimore, MD",0.2,positive
1487,"RT @RealMiniAOC: If you have a problem figuring out whether you're for Joe Biden, then you ain't dead.",JMOKC,,-0.2,negative
1488,RT @PolitiFact: NEW: Joe Biden is the clear winner of the presidential race. Here's how we know. https://t.co/9UDagXYPQk https://t.co/oI3AC…,mtarver,"Saint Petersburg, FL",0.118181818,positive
1489,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,WoelfferDarlene,,-0.15,negative
1492,"RT @JonMunitz: So I live in NY state, Donald Trump apparently doesn't want my family to have a vaccine for COVID-19, thank you to everyone…",armando7usa,,0.093181818,positive
1493,"RT @CNN: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North Carolina…",FIFI202021,,0.2,positive
1494,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Stevee973,973,0.25,positive
1495,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",law_comedy,"Dallas, TX",0.5625,positive
1498,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL https://t…",SerendipitySays,A Pale Blue Dot,0.5625,positive
1499,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,ctznofdworld,"not the WH, aka Cor hotspot",0.1,positive
1500,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,megan_stroescu,,0.25,positive
1501,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,L1beralTexan,,0.25,positive
1502,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",bgr5833,,0.25,positive
1506,"RT @GeorgePapa19: Am all for free and fair elections. Let the process play out. Count and audit the legal votes, and if Biden truly got *74…",Maddeymurphy,,0.433333333,positive
1508,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,annalisian,NYC,0.25,positive
1509,RT @CBSNews: Joe Biden becomes first Democrat to win Arizona since 1996  https://t.co/63xMnqTvo2,MaysamBehravesh,maysam.behravesh@gmail.com,0.525,positive
1510,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",LoveLife9266,"Montana, USA",0.2,positive
1511,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",lhildabrand1,,1,positive
1513,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JellyChavez97,"Texas, USA",0.25,positive
1515,"RT @melbournecoal: NEW: The Progressive Change Institute, a sister organization to the PCCC that is aligned with Elizabeth Warren, has sent…",saitelugumovies,"Boston, MA",0.136363636,positive
1516,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_______2_s__,lol,0.25,positive
1519,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,TheatreChick76,Complete Fμckwittery,-0.015151515,negative
1520,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,jbfletcher28,"Henderson, NV",0.25,positive
1521,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",CHHolte,"Brunswick, MD",0.068181818,positive
1522,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",Pooz1969,"Pennsylvania, USA",0.5,positive
1524,"@realDonaldTrump you asshole. Never ever bet against Joe’s from Pennsylvania. Namath, Montana &amp; Biden. They win, YOU LOSE!!!! https://t.co/YpYWjFnN3d",mikepence_smom,United States,1,positive
1526,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,NETTA76716520,,0.25,positive
1527,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Balt182DCVanjie,,0.25,positive
1528,"RT @axcomrade: Biden has appointed Cecilia Muñoz, former head of Obama's domestic policy council, to his transition team. Muñoz is best kno…",_wanderkid,Mars,0.333333333,positive
1530,@realDonaldTrump I would take it one step further and ask ourselves.. did Joe Biden really get more votes than Obama and Clinton? I don’t think so.. Fraud everywhere.. please don’t insult my intelligence anymore,robert_strate,,0.233333333,positive
1531,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mick271,,0.25,positive
1532,"RT @RoyalNefertari: Joe Biden BLATANTLY SAID, “we are building a new world order” and nobody knew what that meant. 😂😭😭😂🤣😂",ItsOlivaa,,-0.181818182,negative
1533,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,iamalittlehappy,"Tennessee, USA",0.25,positive
1534,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",ashishnh,,0.2,positive
1535,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,gsqseb,Whadjuk Noongar land Australia,0.25,positive
1536,RT @JoeNBC: It’s funny watching Republicans kowtow to a candidate who lost over 300 electoral votes. Sore losers who keep clinging desperat…,shivafire,,0.025,positive
1537,@Migard32 @washingtonpost I know people that tried voting for Trump in PA and they were told they already voted. If I knew any Joe Biden voters having issues I would make a stink about that as well but I don't. I voted for Don Blankenship so I'm not biased. I'm sure you voted Biden.,chickiesinger,,0.5,positive
1541,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",tpunteney,"Lincoln, NE",0.5625,positive
1542,"RT @jaketapper: Trump won MORE vote in Philly in 2020 than in 2016 — so that is one wacky conspiracy! 🦅 

https://t.co/YDWPHHMtNL",livspeight,Lima Heights,0.5625,positive
1543,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,eholstia,,0.25,positive
1544,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,katielydenhitow,"Michigan, USA",0.1,positive
1545,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,standstrong100,,0.25,positive
1546,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,howard_fite,"Houston, TX",0.25,positive
1548,"RT @TheRickyDavila: MAGA redhat wearing grifter Kayne threatens to leave the US after Joe Biden and Kamala Harris win.

Bye, we hardly ever…",49nersutefan,"Dumbfuckistan, Utah, USA",0.254166667,positive
1550,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_sarasousa_,,0.25,positive
1551,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,shaun_forde,,0.25,positive
